Sample in Buffer,Sample in Window,TRIGGER,ANC_SYSTEM/Waf[0]_12[23:0],ANC_SYSTEM/Waf[1]_13[23:0],ANC_SYSTEM/Waf[2]_14[23:0],ANC_SYSTEM/Waf[3]_15[23:0],ANC_SYSTEM/Waf[4]_16[23:0],ANC_SYSTEM/Waf[5]_17[23:0],ANC_SYSTEM/Waf[6]_18[23:0],ANC_SYSTEM/Waf[7]_19[23:0],ANC_SYSTEM/Waf[8]_20[23:0],ANC_SYSTEM/Waf[9]_21[23:0],ANC_SYSTEM/Waf[10]_22[23:0],ANC_SYSTEM/Waf[11]_23[23:0],ANC_SYSTEM/Waf[12]_24[23:0],ANC_SYSTEM/Waf[13]_25[23:0],ANC_SYSTEM/Waf[14]_26[23:0],ANC_SYSTEM/Waf[15]_27[23:0],ANC_SYSTEM/Waf[16]_28[23:0],ANC_SYSTEM/Waf[17]_29[23:0],ANC_SYSTEM/Waf[18]_30[23:0],ANC_SYSTEM/Waf[19]_31[23:0],ANC_SYSTEM/Waf[20]_32[23:0],ANC_SYSTEM/Waf[21]_33[23:0],ANC_SYSTEM/Waf[22]_34[23:0],ANC_SYSTEM/Waf[23]_35[23:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
77,77,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
78,78,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
79,79,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
80,80,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
81,81,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
82,82,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
83,83,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
84,84,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
85,85,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
86,86,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
87,87,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
88,88,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
89,89,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
90,90,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
91,91,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
92,92,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
93,93,0,-1063102,4779013,-5931330,-5822789,2294141,-4707380,2544628,-3125129,-4745560,570480,-2034784,1456457,141409,3778516,-1335158,1885335,-425757,-4168538,1960081,4850448,-329593,244579,85460,-217090
